,,,,,,,gene-CD630_RS00620,289.27,245.51
,,,,,,,gene-CD630_RS00625,499.6,400.12
,,,,,,,gene-CD630_RS00630,352.54,878.39
,,,,,,,gene-CD630_RS00635,302.01,210.34
,,,,,,,gene-CD630_RS00640,350.99,336.27
,,,,,,,gene-CD630_RS00645,363.3,
,,,,,,,gene-CD630_RS00650,316.03,480.8
,,,,,,,gene-CD630_RS00655,349.58,246.26
,,,,,,,gene-CD630_RS00660,390.07,422.91
,,,,,,,gene-CD630_RS00665,333.97,333.96
,,,,,,,gene-CD630_RS00670,303.65,249.0
,,,,,,,gene-CD630_RS00675,272.92,367.5
,,,,,,,gene-CD630_RS00680,368.81,321.62
,,,,,,,gene-CD630_RS00685,290.54,218.42
,,,,,,,gene-CD630_RS00690,428.16,390.08
,,,,,,,gene-CD630_RS00695,280.68,334.2
,,,,,,,gene-CD630_RS00700,318.23,190.67
,,,,,,,gene-CD630_RS00705,388.88,507.94
,,,,,,,gene-CD630_RS00710,385.86,479.32
,,,,,,,gene-CD630_RS00715,330.52,360.42
,,,,,,,gene-CD630_RS00720,287.53,294.71
,,,,,,,gene-CD630_RS00725,388.09,566.33
,,,,,,,gene-CD630_RS00730,390.96,251.79
,,,,,,,gene-CD630_RS00735,327.56,292.05
,,,,,,,gene-CD630_RS00740,320.68,192.35
,,,,,,,gene-CD630_RS00745,313.55,407.0
,,,,,,,gene-CD630_RS00750,275.33,280.32
,,,,,,,gene-CD630_RS00755,302.77,173.08
,,,,,,,gene-CD630_RS00760,377.14,389.94
,,,,,,,gene-CD630_RS00765,371.94,287.41
,,,,,,,gene-CD630_RS00770,368.52,459.11
,,,,,,,gene-CD630_RS00775,359.98,525.16
,,,,,,,gene-CD630_RS00780,329.24,150.14
,,,,,,,gene-CD630_RS00785,437.16,669.62
gene-CD630_RS00790 - gene-CD630_RS00805,118441,121688,3247,+,10.86,4
,,,,,,,gene-CD630_RS00790,6.69,
,,,,,,,gene-CD630_RS00795,11.25,
,,,,,,,gene-CD630_RS00800,12.18,
,,,,,,,gene-CD630_RS00805,13.89,10.31
gene-CD630_RS00810 - gene-CD630_RS00815,121808,122660,852,+,297.73,2
,,,,,,,gene-CD630_RS00810,277.89,
,,,,,,,gene-CD630_RS00815,430.12,185.17
gene-CD630_RS00820,123166,123870,704,+,1.05,1
,,,,,,,gene-CD630_RS00820,1.05,
gene-CD630_RS00955,136463,137647,1184,-,38.05,1
,,,,,,,gene-CD630_RS00955,38.05,
gene-CD630_RS00960 - gene-CD630_RS00965,138020,140932,2912,+,17.22,2
,,,,,,,gene-CD630_RS00960,11.81,
,,,,,,,gene-CD630_RS00965,19.16,20.68
gene-CD630_RS01065,153933,155950,2017,+,9.1,1
,,,,,,,gene-CD630_RS01065,9.1,
gene-CD630_RS01070,154769,155950,1181,+,14.97,1
,,,,,,,gene-CD630_RS01070,14.97,
gene-CD630_RS01075 - gene-CD630_RS01105,156254,161600,5346,+,264.29,7
,,,,,,,gene-CD630_RS01075,99.61,
,,,,,,,gene-CD630_RS01080,114.18,146.41
,,,,,,,gene-CD630_RS01085,282.98,
,,,,,,,gene-CD630_RS01090,260.18,360.23
,,,,,,,gene-CD630_RS01095,263.96,160.55
,,,,,,,gene-CD630_RS01100,281.57,
,,,,,,,gene-CD630_RS01105,707.52,230.0
gene-CD630_RS01110 - gene-CD630_RS01115,161770,165215,3445,+,59.16,2
,,,,,,,gene-CD630_RS01110,54.0,
,,,,,,,gene-CD630_RS01115,56.54,66.93
gene-CD630_RS01120,165666,166961,1295,+,2.24,1
,,,,,,,gene-CD630_RS01120,2.24,
gene-CD630_RS01125 - gene-CD630_RS01140,167424,171320,3896,+,18.98,4
,,,,,,,gene-CD630_RS01125,18.71,
,,,,,,,gene-CD630_RS01130,30.13,24.24
,,,,,,,gene-CD630_RS01135,15.06,22.53
,,,,,,,gene-CD630_RS01140,10.9,11.27
gene-CD630_RS01145,171418,171678,260,+,NOT EXPRESSED,0.53
gene-CD630_RS01150 - gene-CD630_RS01155,171875,173338,1463,+,29.02,2
,,,,,,,gene-CD630_RS01150,17.06,
,,,,,,,gene-CD630_RS01155,40.0,30.0
gene-CD630_RS01160,173449,173958,509,-,NOT EXPRESSED,0.37
gene-CD630_RS01165,174387,175580,1193,+,28.37,1
,,,,,,,gene-CD630_RS01165,28.37,
gene-CD630_RS01170,175896,176993,1097,+,NOT EXPRESSED,0.0
gene-CD630_RS01175,177257,179476,2219,+,2.14,1
,,,,,,,gene-CD630_RS01175,2.14,
gene-CD630_RS01180,179521,180261,740,+,2.98,1
,,,,,,,gene-CD630_RS01180,2.98,
gene-CD630_RS01185,180593,182506,1913,+,3.98,1
,,,,,,,gene-CD630_RS01185,3.98,
gene-CD630_RS01190,182647,182955,308,+,1.69,1
,,,,,,,gene-CD630_RS01190,1.69,
gene-CD630_RS01195,182979,183305,326,+,NOT EXPRESSED,0.21
gene-CD630_RS01200,183344,184678,1334,+,NOT EXPRESSED,0.73
gene-CD630_RS01205,184689,185207,518,+,NOT EXPRESSED,0.0
gene-CD630_RS01210,185303,186262,959,+,NOT EXPRESSED,0.85
gene-CD630_RS01215,186311,187363,1052,+,1.08,1
,,,,,,,gene-CD630_RS01215,1.08,
gene-CD630_RS01220,187366,188040,674,+,NOT EXPRESSED,0.79
gene-CD630_RS01225,188593,189144,551,+,145.06,1
,,,,,,,gene-CD630_RS01225,145.06,
gene-CD630_RS01230 - gene-CD630_RS01240,189276,195358,6082,+,12.12,4
,,,,,,,gene-CD630_RS01230,16.26,
,,,,,,,gene-CD630_RS01235,7.04,12.0
,,,,,,,gene-CD630_RS01235,23.48,10.0
,,,,,,,gene-CD630_RS01240,4.32,11.77
gene-CD630_RS01245,195506,196672,1166,+,3.46,1
,,,,,,,gene-CD630_RS01245,3.46,
gene-CD630_RS01250,196974,197579,605,+,36.91,1
,,,,,,,gene-CD630_RS01250,36.91,
gene-CD630_RS01255,197908,200721,2813,+,1.36,1
,,,,,,,gene-CD630_RS01255,1.36,
gene-CD630_RS01260 - gene-CD630_RS01290,199087,205952,6865,+,6.99,6
,,,,,,,gene-CD630_RS01260,8.08,
,,,,,,,gene-CD630_RS01265,10.05,
,,,,,,,gene-CD630_RS01270,9.91,
,,,,,,,gene-CD630_RS01275,11.79,4.0
,,,,,,,gene-CD630_RS01280,3.24,7.13
,,,,,,,gene-CD630_RS01290,4.76,3.93
gene-CD630_RS01295,206267,207229,962,+,4.11,1
,,,,,,,gene-CD630_RS01295,4.11,
gene-CD630_RS19915 - gene-CD630_RS01300,207328,208307,979,-,22.05,2
,,,,,,,gene-CD630_RS19915,27.79,
,,,,,,,gene-CD630_RS01300,16.31,
gene-CD630_RS01305 - gene-CD630_RS01310,209440,211787,2347,+,3.72,2
,,,,,,,gene-CD630_RS01305,6.76,
,,,,,,,gene-CD630_RS01310,1.92,2.49
gene-CD630_RS01315,212060,213832,1772,+,NOT EXPRESSED,0.52
gene-CD630_RS01320,213854,215275,1421,+,NOT EXPRESSED,0.44
gene-CD630_RS01325,215304,216374,1070,+,NOT EXPRESSED,0.27
gene-CD630_RS01330,216390,216641,251,+,NOT EXPRESSED,0.0
gene-CD630_RS01335,216692,216895,203,+,14.42,1
,,,,,,,gene-CD630_RS01335,14.42,
gene-CD630_RS01340,217381,217674,293,+,NOT EXPRESSED,0.64
gene-CD630_RS01345,217806,219155,1349,-,NOT EXPRESSED,0.1
gene-CD630_RS01350,219192,220412,1220,-,1.15,1
,,,,,,,gene-CD630_RS01350,1.15,
gene-CD630_RS01355,220781,222793,2012,-,2.92,1
,,,,,,,gene-CD630_RS01355,2.92,
gene-CD630_RS01360,223264,223914,650,+,3.08,1
,,,,,,,gene-CD630_RS01360,3.08,
gene-CD630_RS01365 - gene-CD630_RS01370,224053,227358,3305,-,10.9,2
,,,,,,,gene-CD630_RS01365,10.18,
,,,,,,,gene-CD630_RS01370,7.96,14.56
gene-CD630_RS01375 - gene-CD630_RS01380,227494,228804,1310,+,55.37,2
,,,,,,,gene-CD630_RS01375,119.29,
,,,,,,,gene-CD630_RS01380,7.29,39.53
gene-CD630_RS01385,228980,229150,170,-,3811.19,1
,,,,,,,gene-CD630_RS01385,3811.19,
gene-CD630_RS01390 - gene-CD630_RS01405,229435,234240,4805,+,39.61,4
,,,,,,,gene-CD630_RS01390,3.57,
,,,,,,,gene-CD630_RS01395,52.66,19.79
,,,,,,,gene-CD630_RS01400,64.33,
,,,,,,,gene-CD630_RS01405,57.69,
gene-CD630_RS01410,234379,235566,1187,-,36.41,1
,,,,,,,gene-CD630_RS01410,36.41,
gene-CD630_RS01415,235839,236663,824,+,NOT EXPRESSED,0.93
gene-CD630_RS01420,236792,238057,1265,+,700.91,1
,,,,,,,gene-CD630_RS01420,700.91,
gene-CD630_RS20185,238270,238483,213,+,NOT EXPRESSED,0.0
gene-CD630_RS20190,238700,238858,158,+,3.09,1
,,,,,,,gene-CD630_RS20190,3.09,
gene-CD630_RS01435 - gene-CD630_RS01440,239189,242260,3071,+,33.55,2
,,,,,,,gene-CD630_RS01435,5.05,
,,,,,,,gene-CD630_RS01440,79.96,15.63
gene-CD630_RS01445,242556,243476,920,+,24.91,1
,,,,,,,gene-CD630_RS01445,24.91,
gene-CD630_RS01450 - gene-CD630_RS01460,243515,245771,2256,+,38.84,3
,,,,,,,gene-CD630_RS01450,21.11,
,,,,,,,gene-CD630_RS01455,23.83,
,,,,,,,gene-CD630_RS01460,48.28,62.15
gene-CD630_RS01465,245986,246912,926,+,5.39,1
,,,,,,,gene-CD630_RS01465,5.39,
gene-CD630_RS01470,246964,247854,890,-,5.61,1
,,,,,,,gene-CD630_RS01470,5.61,
gene-CD630_RS01475,248042,249073,1031,+,NOT EXPRESSED,0.78
gene-CD630_RS01480 - gene-CD630_RS01485,249367,251750,2383,+,6.06,2
,,,,,,,gene-CD630_RS01480,6.19,
,,,,,,,gene-CD630_RS01485,7.0,5.0
gene-CD630_RS01490 - gene-CD630_RS01495,251943,253888,1945,+,171.88,2
,,,,,,,gene-CD630_RS01490,194.82,
,,,,,,,gene-CD630_RS01495,193.34,127.48
gene-CD630_RS01500,254150,254890,740,+,2.62,1
,,,,,,,gene-CD630_RS01500,2.62,
gene-CD630_RS19920,255025,256157,1132,+,4.5,1
,,,,,,,gene-CD630_RS19920,4.5,
